distr_id,amount,epoch_no,active_until,drep_id,raw,view,has_script,unique_delegators
1,5571375731162,508,528.0,377,binary data,drep1qz8frp3eq58v3dcguhv0753yt9gf3g50plrxw8rxu2f2krf2p5d,False,44
2,19236338429,508,527.0,2224,binary data,drep1q2xyaed4v08w0m0z86aytxg3kydughe0llnh2wul5avakyhzakq,False,0
3,12440114758,508,527.0,1895,binary data,drep1qjj5qs8aynj9aj5csp7vgk5xpaxykcenk5dnrync444dggyfuqr,False,0
4,1120934861669,508,527.0,889,binary data,drep1qufe0rxxke9a6de2jz62ssr9lh7qdd72ywd0wu0tascqvmhpxel,False,0
5,23763768,508,527.0,798,binary data,drep1p2kzkkz0mphapp8zww0cu3gv5k6j0znmplmjt7txlf4vqvdh9qh,False,2
6,547636350,508,527.0,1227,binary data,drep1phescp0plhtdvh55jv5yghheddpfx43x3y8d9dw8step5frdqa8,False,0
7,94586670807,508,527.0,179,binary data,drep1pmy58hz70shnprfexg4z6ykfxnavtv5jdemvvl5yktydzml6wlq,False,5
8,9209186320,508,527.0,2,binary data,drep1plm3zm53xcusez3sx0hx3htz27sdlgux04ulagvngq4zu7cry5f,False,1
9,387212966137,508,527.0,849,binary data,drep1zpq3lch4hatmvctpcnma2sl96vjawd76gqq0h3vu28zkvms9xxw,False,0
10,50219777550,508,527.0,655,binary data,drep1zg50s9rwt4tlww9ce6ws57sr98v0d3qnjgacls6wnq5tq608zjf,False,0
11,19332294718,508,527.0,2207,binary data,drep1zfc4t0s58ln3mwumm8halypvgd60ud8sxmzgngar58nsgcf0gpp,False,0
12,178719463,508,527.0,1879,binary data,drep1ztnap45v9hyhpxlnpmn6avxv0vvevx7zfhztdprux875vntmd0r,False,0
13,480498956,508,527.0,788,binary data,drep1z55gvtqtqhavjdyzlmgmh7ntzutdkvdkaq6jc8vc7f2hvg0d0s5,False,0
14,370348481670,508,527.0,1846,binary data,drep1z4vr6q5kxpr7kmm667zgnpm7p2yps56zp3mqhjynt7sjyf4p65k,False,5
15,2427037812296,508,527.0,974,binary data,drep1zekyxrq5auz5c8gf0p6zehtmfnl7s9q4uqq8m4wkvm4e764u3yw,False,8
16,3848241207,508,528.0,126,binary data,drep1z60zgqvhu4ty75ltkxnrknfethxh3n9vwq5g40xcv8y4vp8s3p2,False,0
17,2425414130,508,527.0,306,binary data,drep1zmymjy8xyzmxvxuz4mptxpam52exdq4chmwuqsesr2se57jz0v0,False,0
18,164979281338,508,528.0,738,binary data,drep1rzx40e940r986szxqam9vv5qs2jellg5jc7n2yu6eymj6mre4kp,False,0
19,3772688084,508,527.0,1481,binary data,drep1r86k3fq5g2rta8lhmgplpzhy76ym3d56lstptxalkszvgsr7xpz,False,0
20,53391939129,508,528.0,767,binary data,drep1rg4jw8vkx32qjphpjmsrnw52sfv5ufcalv48nnwdqp6zvanhn7r,False,2
21,42833838300,508,527.0,77,binary data,drep1r5x95z3zmuld2gqwrfqym60g7dr9fer7ujy6j903lue36rd4fll,False,0
22,10485577466,508,528.0,134,binary data,drep1r43pzv0wj8xr8a50sa78zlc6ld70q2xrdqmzgxp0nxj7u70jjzq,False,0
23,473272429,508,527.0,1132,binary data,drep1rmdgqugrj694apvu4m2ystnwwkpmxc8fnee5fpahlqfnq2xkmv4,False,0
24,150109414780,508,527.0,75,binary data,drep1ra0d88cf4n58pt3zdydxm26nq5ppkrq8qwu892hx8zwvueg6298,False,0
25,2186613563288,508,528.0,763,binary data,drep1yzzd7prdl628lwac455e0sc5wtw2fldg3f2th6jg7r5c7pvf3mk,False,33
26,46724650759,508,527.0,143,binary data,drep1y286hnwjkxsrg4220fpd4hzer4j5pnj59mqd0fe55xtmzyra6as,False,5
27,1987650000,508,528.0,495,binary data,drep1yvsn7mpypmtm2x2jzmx4es43zwn332w9u4taewq9z23rs398595,False,0
28,1057812898564,508,528.0,703,binary data,drep1ydvwp8x9j8u4flwjqwxf8jdjwp9p4zf2x4rk7vv7fgzk6j2k7c6,False,18
29,1183251615,508,527.0,1877,binary data,drep1ysy0kzhamk2cvfzrql50unfj9jkk2zffxtaae5zmc39cs3uec6j,False,0
30,1026146319665,508,527.0,25,binary data,drep1yn6hlm88yyacdm9lej0n2kp4u9y2m55mnha82ugn46afkspmyfv,False,0
31,1788234026927,508,527.0,80,binary data,drep1yexsztwc72cuhzgcs74slj5szlttg8ft7ywhhyql6pyhutj0uwp,False,6
32,200225870600,508,527.0,952,binary data,drep1y6k58mv2l2dferntqs5z66uvafcgj3dtr63sa68jpcf4sfxwy9c,False,-1
33,82624724021,508,527.0,971,binary data,drep1ymkp9t4k5lnpd5rw2vaup85kchs9qltctp8lv6kgzfqls02q00d,False,0
34,939210790,508,528.0,415,binary data,drep1yaj3k43yjt26y2hz7d2wm42j6gkvaq5j6z2da2f7n7jpkn854jk,False,0
35,805184898181,508,528.0,48,binary data,drep1ya6hzdt4kplm2zfnshschz8vweujcxt3f4azyvaplk6xjyw262e,False,0
36,137635883964,508,528.0,379,binary data,drep19ryvtdugtzffk0l0prd8egy8vfrwh7gjd084kxqvfsr550e3u0c,False,0
37,5994468308,508,527.0,2181,binary data,drep1904hk8cmdhpe9w97g4rl3r7d4yedwe30pmw0jstl9673w2gv0xn,False,0
38,101977283331,508,527.0,731,binary data,drep19jtzh8h0gs6dcz9mcyyqlwunwhtregu9uwvntcmfdxxlyrgelza,False,0
39,183358736302,508,528.0,633,binary data,drep19ervrqweq8vr50csuuysuuavzj2ffhpt8sufvpkwuqxjvxehnck,False,0
40,901091852,508,527.0,1436,binary data,drep19e3t86jddnsm2qh59tqv6skppnyqm5z5d6de82u5dr8hup7pwq0,False,0
41,267411684511,508,527.0,1802,binary data,drep196ncstz9an8xke3emn7eckz0zffr9nmhd6cuvuanwn2cknvws67,False,0
42,1863022400,508,528.0,44,binary data,drep197vrvw5thxhux8t9w5lc6lk6etm9cs44n2dav7jhe689u3gy4hs,False,0
43,151862291199,508,527.0,338,binary data,drep1x8ksrnfvsdf8wfvsx2p7fef46zs2vq96kgvgkpk9ne0qkql6ljc,False,0
44,1267308985,508,527.0,963,binary data,drep1xgzlpyy3pvywm5wvhkvyz9cpga5wylme6wdu6l9vn5g6cp38jdj,False,2
45,89270998,508,527.0,1359,binary data,drep1xfzdeu7mutvla824en2mreg08h97gf0m7q2rcsg7nuspy6k0ysx,False,0
46,14967305,508,528.0,82,binary data,drep1xt7mz4vps99ruacy5tpk6x620qta6ystxhjtx83tjr3n2mg8skf,False,0
47,149737730920,508,527.0,1621,binary data,drep1xnnxc6gtjyda49syl022lrs6a8ytz7zg6vjfq7v94k7dqt98wu2,False,-1
48,146045691576,508,528.0,165,binary data,drep1x45z8ntumqvata787epqnr9n7jnz242hr39nlzlltt8cq8c93k2,False,0
49,5603978804,508,527.0,1524,binary data,drep1x462leyxfdczga3wld5affp9qvkentwn4wqlypr53nvwsjasw9v,False,0
50,608826639,508,527.0,2305,binary data,drep1xek543gacds6sy76tku75hl9mgqmu93wnh4t6nlrmvfn7ehvjxq,False,0
51,21760891447,508,527.0,1281,binary data,drep1xa6mmkku2rea0v6n3u9vxlg9njfc4d4t08t4es7fv3ngwzru0dv,False,0
52,55321461264,508,527.0,1017,binary data,drep1x7fk09chccz499pn5ghg5s4aezzccgdx6m6v0mkpqgpfg9lmjrc,False,0
53,260081133317,508,527.0,1101,binary data,drep18rs3skwj58udl2u7ej6dmtmnptvawj26h2prfpm9g2k3jhjntpf,False,0
54,507813663,508,527.0,2030,binary data,drep1897nvzpn69pmpcgxejzgasre3mztxj7qf2hqs5se9n3p7qdc3yt,False,0
55,144753151975,508,527.0,487,binary data,drep185r8rr6j9evjs984vnr7haf5cn3qw5w220usk23cxffvwuutaz3,False,0
56,807502189023,508,527.0,790,binary data,drep18c6dw0e6z9lx65f22zrzgl0z49j48k39ttxqk4q6h953utzepy5,False,10
57,23137671667,508,527.0,346,binary data,drep1g2qjfxcxj6ewx3aw0nqh2lfcaq0at3a2wcusxgjmgrnuzph6ddt,False,0
58,302580766502,508,528.0,353,binary data,drep1g24lel6ptfaad8fphzkn8jke0xwl7x3tz0hv7t0nvax8clrey9s,False,-1
59,447389638075,508,527.0,50,binary data,drep1g0g4ntlgxfnanvtqaa405y3ruszqyfhx46snptktzwg8xvtce0u,False,20
60,11186471126,508,527.0,563,binary data,drep1gsnseus5um6kckgtyx3pvav23wv9ss2pzyndawtj3uqsw5dr4q5,False,0
61,97697318,508,528.0,441,binary data,drep1gnxjs820d0ayrzufqxnfjt7n0s3qj762lvs5he3cnjt6se5tjqq,False,0
62,533285248,508,528.0,157,binary data,drep1g4r8sq8554m2euwakh6wq6g76dzpatrullgcmwp2tcphv8y0xwd,False,0
63,299947559227,508,527.0,2096,binary data,drep1ghq6tzqa3wn24pmnmspz7l8u7jauxatmqvquekt95v7tzupktt7,False,4
64,101460042310,508,527.0,2059,binary data,drep1gc3k97dkt6x6hd97u8a7kggrscnr5hdrsv24mws208myx5l5dhe,False,0
65,121074664486,508,527.0,221,binary data,drep1g7eq6d2mkphtc5tk5fa24j7lzt0r7kytr0g3ccdjqhp6xw2y44n,False,0
66,1424231323703,508,528.0,312,binary data,drep1fgj46n9vvfyxg3q0qlcm3a6tf0vvjv9wuhkvrtcm35c0vrtxfky,False,0
67,244112152391,508,527.0,882,binary data,drep1fj40ksfux7pmf8rzqnlajrjqnf888t323vv7yur3p7z0w4pwtrk,False,0
68,79791613978,508,528.0,32,binary data,drep1fcwj52pvrep5luusk0068v3pha84h5758w0tx8hgjr7q7k9e55q,False,1
69,129554402316,508,527.0,1344,binary data,drep1f7ng3m7gq6eaw6fufmva66uppvhs8ltzm9nsw85jxpa07z69rzy,False,0
70,456542627748,508,528.0,103,binary data,drep12xhxd3y3wanzfwfzwstat8zd77r52mx2vxqz6m07klnyvyhf7fl,False,0
71,5241969329,508,528.0,101,binary data,drep12gzas8f4kmt9r35s67rej9l3xle8cpfzm6et50j7eh4asqvu2p2,False,0
72,1350862701023,508,527.0,1406,binary data,drep12fxcl29dk55lkqqtdce967xm7qsakx4ewyt3apyerwpu5mqcnfw,False,0
73,796351818552,508,528.0,120,binary data,drep122rgx3yhs7awjuxfe8kza5fz9qhyag7pdmfan55kh9gnc8394zp,False,0
74,296555072,508,528.0,57,binary data,drep122wd9ku9j2qetvr2n8yqfgapm820yzlxh6fa983w9pt6yry7wey,False,1
75,116145516294,508,527.0,2022,binary data,drep120kypfarsk0z5534fu8mtm6sl7gyqc3cz6udcfm4a3ty759ld55,False,1
76,8220029207,508,527.0,1570,binary data,drep120m237kstm7pzywv5nwtjm8gj8dl55j9nupwlkapz77mgv7zu7l,False,0
77,3900031795163,508,527.0,6,binary data,drep125s4lx920k0z38fptf2lvtf933kr5udts3ahdh5am0nxzcqwua9,False,47
78,22951388,508,527.0,273,binary data,drep12ezrfwhqtrva6gvs7lu5ks6z55hfla4g675zzps8fw3jwamdxtr,False,0
