epoch_no,drep_view,new_delegators,new_delegators_lag2,voting_power_lovelace
508,drep1000002hneyj7jl9y95m0zxdsg6dp9n9y59lvlm7xjqp4qh2jx7h,0,0,
508,drep100gzgh095hxsgarhdvacsz8m98sdwkyhm5924w74au5djs8u5ud,0,0,
508,drep100jz6lkn22jl85gj29vtlwwdrdttmxr8dul6peywguy7waev0hz,0,0,
508,drep100pnfhkx8ughe8ra3vamdhanqhmsc8dl0cgszh3ffd5e75vpgy2,0,0,
508,drep1025p6hdcn0rf9lqdy39fnsjcw6qg2p4hhwmx65xc63352p5r0gn,0,0,
508,drep1029z4azgy00vflahgxrl57hyl3tegdfg0f4mwf3aaw8pvj6yvz7,0,0,
508,drep102fvfd8peu4z8scaddk2cpr3fz3cptpr8akqqnkxxexxxj7rvjf,0,0,
508,drep102j4x2aqqj06l88678r8pnml58jc0c8gqltseswyjj3zkc60d43,0,0,371495817459.0
508,drep102ma5zshyyrq9tu88jt9m9uq90jknpy44qz8hx9u6gqkw3edk8h,0,0,
508,drep102welvmfk74dkpcyr65le0q72m9e3fl88crg8947hatpky9pv2g,0,0,
508,drep104534qle8pq34satg3xxr2vp67v9630wc67qfq0ly0vycfrx5l3,0,0,
508,drep1046w7grta8lthzgu0w9lfnrfmdpjttxm82mm92ckyl0d7uzpmqy,0,0,
508,drep105mh7rrg8a9sr8grxc3y48gsxx9y9f9tk65xmu6yvc44j485h4w,0,0,
508,drep105w7lnhdmmh5wjqzsqgw556yrejvftyvcnm5wtk06jpvvksmrql,0,0,
508,drep106asgfntqf5snyw7glg3tk9a2gh7epcps7kf98j9ma4czh2r0f3,0,0,23204355367.0
508,drep107e480v044a2rjjny8xg6xvjurpgrxkg75f5jnfa35dwswcd7we,0,0,8602147577.0
508,drep109plwh0wqt99jcp8xngrm4rkmyt72vf2ggnweyj939sy6nn76ue,0,0,
508,drep109rd2sz08kvw089d4hw7zy2ygjs575rwh429ntn37fx5v3pwhtl,8,0,597619756008.0
508,drep109sf5yy88t6lqrgtfw2uejek9z7kqqupzwckexp4e25a6j28a5v,2,0,125031582316.0
508,drep10clw24kcesljkc29jxvkpmm0a7y75u25qyeapgdcg4yq7h2km24,0,0,
508,drep10cqahpqn3nn675v2frg2cxuxw4rj5uulwtndu7zehx5u7cgrpzy,0,0,
508,drep10cqhv3y7tlxnfvcp7szjmnz96uy7p0tafhdxmc4kwrqs2aw3el3,0,0,
