"epoch_no","registrations","deregistrations"
507,"304","26"
508,"111","24"
509,"56","21"
510,"44","20"
511,"23","13"
512,"18","7"
513,"10","3"
514,"15","7"
515,"14","6"
516,"23","4"
517,"14","8"
518,"14","5"
519,"24","5"
520,"23","4"
521,"22","11"
522,"21","6"
523,"34","4"
524,"21","11"
525,"14","10"
526,"12","5"
527,"19","6"
528,"12","4"
529,"28","9"
530,"16","5"
531,"24","9"
532,"25","6"
533,"15","7"
534,"21","11"
535,"18","7"
536,"21","9"
537,"46","12"
538,"31","9"
539,"35","12"
540,"27","7"
541,"22","7"
542,"22","13"
543,"31","20"
544,"13","7"
545,"18","10"
546,"8","2"
547,"7","7"
548,"1","2"
549,"8","4"
550,"6","4"
551,"12","7"
552,"6","6"
553,"7","6"
554,"19","3"
555,"10","4"
556,"8","9"
557,"11","10"
558,"7","7"
559,"12","7"
560,"11","11"
561,"16","8"
562,"5","7"
563,"6","10"
564,"13","5"
565,"7","3"
566,"5","6"
567,"2","1"
568,"0","2"
569,"8","4"
570,"10","10"
571,"15","10"
572,"2","2"
573,"0","1"
