active_stake,bech32,block,block_epoch,cluster_name,cluster_order,delegator,fixed_cost,hash,impersonator,itn,live_stake,margin,mithril,name,owner_stake,pledge,pool_fee,reg_time,retiring_epoch,reward_amount,ros_0,ros_1,ros_12,ros_18,ros_2,ros_3,ros_36,ros_6,ros_73,ticker,total_block,valid_meta
0,pool1lu2luhmkyayq9njh848kfknn6evwzmn3gzsxar7z3sttg7grxcm,0,0,p2p.org,3,1,340000000,ff15fe5f76274802ce573d4f64da73d658e16e7140a06e8fc28c16b4,False,False,0,0.04,False,P2P & Tangem,0,0,0,1753784195,,0,0,0,0,0,0,0,0,0,0,PPTG1,0,True
0,pool1hju4yeclny559p5wrnpgprhs3wqpne8zg8glmtfm4muwcyrxju5,0,0,,,2,170000000,bcb952671f992942868e1cc2808ef08b8019e4e241d1fdad3baef8ec,False,False,55396550,0,False,0️⃣% Fees 💰 Pool 🔥,46762482,9000000,0,1753709510,,0,0,0,0,0,0,0,0,0,0,0️⃣%,0,True
1799695,pool1av640ert5ktadalakrc5lkgrf988tu0t0j58d9hptd06u57qlms,0,0,,,1,340000000,eb3557e46ba597d6f7fdb0f14fd903494e75f1eb7ca87696e15b5fae,False,False,251799695,0.05,False,,251799695,500000000,0,1752758119,,0,0,0,0,0,0,0,0,0,0,,0,True
37270858,pool1kl2vuauwfc5k0avf874ym5tcm04ywa22frleszhujeccj4va3lt,0,0,n,15,3,340000000,b7d4ce778e4e2967f5893faa4dd178dbea47754a48ff980afc967189,False,False,37270858,0.05,False,n/a,7638638,0,0,1751937083,,0,0,0,0,0,0,0,0,0,0,N/A,0,True
37270858,pool1qtscx3ge0rgmpffgqen5uup8r8tnav7a2veduweskqx7gf8gjec,0,0,n,14,3,340000000,02e183451978d1b0a52806674e702719d73eb3dd5332de3b30b00de4,False,False,37270858,0.05,False,n/a,7638638,0,0,1751936892,,0,0,0,0,0,0,0,0,0,0,N/A,0,True
12135629055547,pool1f776th42gqa5ammpj738evvnlga5jk4ll0gr4uupkrqnqpjsfyt,3,4,,,2,10000000000,4fbda5deaa403b4eef6197a27cb193fa3b495abffbd03af381b0c130,False,False,12138767319243,1,False,,8413557818,0,8037115514,1751592918,,0,0,0,0,0,0,0,0,0,0,,37,True
4759195068,pool1xpeupsjcwntlt78ak74kk9ymfhn2pac000yu9dp42qlpz58f0un,0,0,,,5,170000000,3073c0c25874d7f5f8fdb7ab6b149b4de6a0f70f7bc9c2b435503e11,False,False,8425151075,0,True,BAT Community Stake Pool,422924693,420690000,0,1751367881,,0,0,0,0,0,0,0,0,0,0,BAT,0,True
5284943385,pool1fhrhklkcqy5mlygak5hszc3phplq7qq5a6wn30hjrv4e6ydrl9g,0,0,,,3,340000000,4dc77b7ed80129bf911db52f016221b87e0f0014ee9d38bef21b2b9d,False,False,6933583812,0.005,False,AnimePool,4997129522,1000000000,0,1751253732,,0,0,0,0,0,0,0,0,0,0,ANIME,0,True
259155994644,pool1v8gvy6tjp8x8wg5h4jw20p9up04lxgw0l0lgery9mz4h7h9x25n,0,3,,,39,170000000,61d0c2697209cc772297ac9ca784bc0bebf321cffbfe8c8c85d8ab7f,False,False,248632947209,0,False,300,207293072,1000000,340000000,1749928743,,706969055,0.0128,0,0.0128,0.0128,0,0,0.0128,0.0128,0.0128,300,4,True
58094519220526,pool197na7w0h8hjc8wdvwys7nsalhtpctefa3m23udeqxpfk6nzq8l9,10,8,n,13,3,340000000,2fa7df39f73de583b9ac7121e9c3bfbac385e53d8ed51e372030536d,False,False,38111606138595,0.03,False,n/a,5336106879,0,5326802035,1749758888,,106273265900,0.0195,0,0.0195,0.0195,0.0122,0.0154,0.0195,0.0195,0.0195,N/A,390,True
