,,,21ST OCTOBER,,,," November 12, 2024",,,,,,,," November 18, 2024",,,,,,,,November 25. 2024,,,,,,,,December 2. 2024,,,,,,,,December 9. 2024,,,,,,,,December 16. 2024,,,,,,,,December 23. 2024,,,,,,,,December 30. 2024,,,,,,,,January 6. 2025,,,,,,,,January 13. 2025,,,,,,,,January 20. 2025,,,,,,,,January 27. 2025,,,,,,,,February 3. 2025,,,,,,,,February 10. 2025,,,,,,,,February 17. 2025,,,,,,,,February 24. 2025,,,,,,,,March 3. 2025,,,,,,,,March 10. 2025,,,,,,,,March 17. 2025,,,,,,,,March 24. 2025,,,,,,,,March 31. 2025,,,,,,,,April 7. 2025,,,,,,,,April 14. 2025,,,,,,,,April 21. 2025,,,,,,,,April 28. 2025,,,,,,,,Additional Info,,,,,,,,,,,,,,,,,,,,,,,,,
CIP-105 Address,CIP-129 Address,Title,Delegators (Oct 21),Delegation (Millions) (21 Oct),% of Delegated Ada (Excluding alwaysa abstain),Ranking (Oct 21),Delegators (Nov 12),Change,Delegation  Millions (Nov 12) ,% of Delegated Ada (Excluding alwaysa abstain),Change,Ranking (Nov 12),Rank Change,Weekly % Increase/ Decrease,Delegators (18 Nov),Change,Delegation (18 Nov),% of Delegated Ada (Excluding always abstain),Change,Ranking,Ranking Change,Weekly % Increase/ Decrease,Delegators (25 Nov),Change,Delegation (25 Nov),% of Delegated Ada (Excluding always abstain),Change,Ranking,Ranking Change,Weekly % Increase/ Decrease,Delegators (2 Dec),Change,Delegation (2 Dec),% of Delegated Ada (Excluding always abstain),Change,Ranking,Ranking Change,Weekly % Increase/ Decrease,Delegators (9 Dec),Change,Delegation (9 Dec),% of Delegated Ada (Excluding always abstain),Change,Ranking,Ranking Change,Weekly % Increase/ Decrease,Delegators (16 Dec),Change,Delegation (9 Dec),% of Delegated Ada (Excluding always abstain),Change,Ranking,Ranking Change,Weekly % Increase/ Decrease,Delegators (23 Dec),Change,Delegation (9 Dec),% of Delegated Ada (Excluding always abstain),Change,Ranking,Ranking Change,Weekly % Increase/ Decrease,Delegators (30 Dec),Change,Delegation (30 Dec),% of Delegated Ada (Excluding always abstain),Change,Ranking,Ranking Change,Weekly % Increase/ Decrease,Delegators (6 Jan),Change,Delegation (6 Jan),% of Delegated Ada (Excluding always abstain),Change,Ranking,Ranking Change,Weekly % Increase/ Decrease,Delegators (13 Jan),Change,Delegation (13 Jan),% of Delegated Ada (Excluding always abstain),Change,Ranking,Ranking Change,Weekly % Increase/ Decrease,Delegators (13 Jan),Change,Delegation (13 Jan),% of Delegated Ada (Excluding always abstain),Change,Ranking,Ranking Change,Weekly % Increase/ Decrease,Delegators (13 Jan),Change,Delegation (13 Jan),% of Delegated Ada (Excluding always abstain),Change,Ranking,Ranking Change,Weekly % Increase/ Decrease,Delegators (13 Jan),Change,Delegation (13 Jan),% of Delegated Ada (Excluding always abstain),Change,Ranking,Ranking Change,Weekly % Increase/ Decrease,Delegators (13 Jan),Change,Delegation (13 Jan),% of Delegated Ada (Excluding always abstain),Change,Ranking,Ranking Change,Weekly % Increase/ Decrease,Delegators (13 Jan),Change,Delegation (13 Jan),% of Delegated Ada (Excluding always abstain),Change,Ranking,Ranking Change,Weekly % Increase/ Decrease,Delegators (13 Jan),Change,Delegation (13 Jan),% of Delegated Ada (Excluding always abstain),Change,Ranking,Ranking Change,Weekly % Increase/ Decrease,Delegators (13 Jan),Change,Delegation (13 Jan),% of Delegated Ada (Excluding always abstain),Change,Ranking,Ranking Change,Weekly % Increase/ Decrease,Delegators (13 Jan),Change,Delegation (13 Jan),% of Delegated Ada (Excluding always abstain),Change,Ranking,Ranking Change,Weekly % Increase/ Decrease,Delegators (13 Jan),Change,Delegation (13 Jan),% of Delegated Ada (Excluding always abstain),Change,Ranking,Ranking Change,Weekly % Increase/ Decrease,Delegators (13 Jan),Change,Delegation (13 Jan),% of Delegated Ada (Excluding always abstain),Change,Ranking,Ranking Change,Weekly % Increase/ Decrease,Delegators (13 Jan),Change,Delegation (13 Jan),% of Delegated Ada (Excluding always abstain),Change,Ranking,Ranking Change,Weekly % Increase/ Decrease,Delegators (13 Jan),Change,Delegation (13 Jan),% of Delegated Ada (Excluding always abstain),Change,Ranking,Ranking Change,Weekly % Increase/ Decrease,Delegators (13 Jan),Change,Delegation (13 Jan),% of Delegated Ada (Excluding always abstain),Change,Ranking,Ranking Change,Weekly % Increase/ Decrease,Delegators (13 Jan),Change,Delegation (13 Jan),% of Delegated Ada (Excluding always abstain),Change,Ranking,Ranking Change,Weekly % Increase/ Decrease,Delegators (13 Jan),Change,Delegation (13 Jan),% of Delegated Ada (Excluding always abstain),Change,Ranking,Ranking Change,Weekly % Increase/ Decrease,X / Website,Other,Name,Country,Region,Japan,Influencer,Technical,Generic/ Investor,DRep Forum ,SPO Y/N,Pool Name,Pool Link,Notes,Intersect Funding,Constitution,Source,,,,,,,,,
-,-,Always Abstain,"5,164",270.25,-%,1,"13,162","7,998",569.79,-%,299.54,1,0,37.80%,"17,293","4,131",665.01,-%,95.22,1,0,29.05%,"23,804","6,511",772.12,-%,107.11,1,0,34.80%,"28,270","4,466",869.82,-%,97.70,1,0,60.50%,"38,294","10,024",1040,,170.18,1,0,61.96%,"43,772","5,478",1200,,160.00,1,0,30.79%,"48,281","4,509",1270,,70.00,1,0,23.87%,"51,665","3,384",1360,,90.00,1,0,,"57,100","5,435",1550,,190.00,1,0,,"60,615","3,515",1670,,120.00,1,0,,"66,424","5,809",1790,,120.00,1,0,47.08%,"69,084","2,660",2390,,600.00,1,0,85.54%,"71,380","2,296",2600,,210.00,1,0,46.61%,"73,397","2,017",4900,,"2,300.00",1,0,89.17%,"76,819","3,422",4980,,80.00,1,0,33.20%,"77,310",491,5170,,190.00,1,0,72.22%,"80,642","3,332",5360,,190.00,1,0,60.59%,"83,643","3,001",5420,,60.00,1,0,62.98%,"85,748","2,105",5370,,-50.00,1,0,,"87,043","1,295",5460,,90.00,1,0,,"88,686","1,643",5550,,90.00,1,0,,"90,369","1,683",5620,,70.00,1,0,,"92,098","1,729",5710,,90.00,1,0,,"93,625","1,527",5720,,10.00,1,0,,"95,419","1,794",5880,,160.00,1,0,,N/A,,,,,N/A,,,,,N/A,N/A,N/A,, ,,,,,,,,"2,800,000,000","2,800,000,000","265,000,000","265,000,000"
drep1jnmmkfwpta0yuwjchw0gu6csh75vy62088egy9n67d0zc7sn83m,drep1y2200we9c904un36tzaearntzzl63snffuul9qsk0te4utqfkke0w,Yuta,55,32.43,4.68%,7,164,109,103.81,8.72%,71.38,2,5,9.01%,214,50,139.62,9.80%,35.81,2,0,10.92%,274,60,149.14,9.16%,9.52,2,0,3.09%,331,57,155.7,9.21%,6.56,2,0,4.06%,410,79,180.47,9.81%,24.77,2,0,9.02%,534,124,273.08,12.08%,92.61,2,0,17.82%,645,111,319.55,12.83%,46.47,2,0,15.85%,701,56,338.06,12.85%,18.51,2,0,9.81%,788,87,358.75,13.00%,20.69,2,0,6.65%,839,51,376.29,13.07%,17.54,2,0,7.58%,874,35,386.44,12.88%,10.15,2,0,3.98%,894,20,387.78,12.47%,1.34,2,0,0.19%,905,11,396.21,11.79%,8.43,2,0,1.87%,915,10,372.84,10.21%,-23.37,2,0,-0.91%,932,17,370.29,9.74%,-2.55,2,0,-1.06%,939,7,401.57,10.35%,31.28,2,0,11.89%,964,25,402.77,10.04%,1.20,2,0,0.38%,988,24,402.55,9.92%,-0.22,2,0,-0.23%,"1,007",19,407.28,9.61%,4.73,2,0,,"1,012",5,405.48,9.34%,-1.80,2,0,,"1,018",6,680.79,14.59%,275.31,2,0,,"1,018",0,647.26,13.71%,-33.53,2,0,,"1,028",10,672.16,13.63%,24.90,2,0,,"1,033",5,670.53,13.38%,-1.63,2,0,,"1,044",11,671.46,12.89%,0.93,2,0,,https://x.com/yuta_cryptox,,Yuki Oishi,Japan,Asia Pacifc,Y,,,Y,Y,Y,"ZZZ (1,2,3 etc)",https://cardanostake.eu/pool/?id=pool14mm59ntjqzphjr6chrww639cdr3yjce4qcwzc5jkk38y22u7uc6,, UNCLEAR,,https://x.com/yuta_cryptox/status/1852871870279975246,,,,,,"35,000,000","95,000,000","35,000,000","95,000,000"
,drep1ytvlwvyjmzfyn56n0zz4f6lj94wxhmsl5zky6knnzrf4jygpyahug,EMURGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,-,,,12,NEW!,87.76,2.19%,87.76,11,NEW!,27.98%,22,10,88.91,2.19%,1.15,11,0,1.21%,40,18,104.35,2.46%,15.44,11,0,,52,12,106.07,2.44%,1.72,11,0,,57,5,106.72,2.29%,0.65,11,0,,75,18,137.59,2.92%,30.87,9,2,,101,26,305.4,6.19%,167.81,3,6,,116,15,309.94,6.19%,4.54,3,0,,131,15,342.08,6.57%,32.14,3,0,,https://x.com/emurgo_io,,,Japan,Asia Pacifc,Y,,,,,,,,,,,,,,,,,1.25,3.39,13.21,35.85
drep13d6sxkyz6st9h65qqrzd8ukpywhr8swe9f6357qntgjqye0gttd,drep1y29h2q6cst2pvkl2sqqvf5ljcy36uv7pmy482xnczddzgqshus24w,Eternl DRep Committee,"1,172",42.73,6.17%,4,"1,792",620,85.78,7.21%,43.05,3,1,5.43%,"1,981",189,100.68,7.07%,14.90,3,0,4.55%,"2,272",291,106.7,6.56%,6.02,3,0,1.96%,"2,431",159,107.74,6.37%,1.04,3,0,0.64%,"2,668",237,110.77,6.02%,3.03,3,0,1.10%,"2,824",156,124.3,5.50%,13.53,3,0,2.60%,"2,950",126,130.98,5.26%,6.68,4,-1,2.28%,"3,045",95,132.71,5.05%,1.73,4,0,0.92%,"3,198",153,137.24,4.97%,4.53,4,0,1.46%,"3,285",87,140.34,4.87%,3.10,4,0,1.34%,"3,440",155,151.17,5.04%,10.83,4,0,4.25%,"3,559",119,156.77,5.04%,5.60,4,0,0.80%,"4,117",558,170.62,5.08%,13.85,3,1,3.07%,"4,422",305,173.46,4.75%,2.84,3,0,0.11%,"4,657",235,177.64,4.67%,4.18,3,0,1.73%,"4,853",196,187.49,4.83%,9.85,3,0,3.74%,"5,103",250,187.54,4.68%,0.05,3,0,0.02%,"5,373",270,190.62,4.70%,3.08,3,0,3.23%,"5,518",145,193.2,4.56%,2.58,3,0,,"5,607",89,207.79,4.79%,14.59,3,0,,"5,729",122,209.2,4.48%,1.41,3,0,,"5,824",95,216.86,4.59%,7.66,3,0,,"5,957",133,217.05,4.40%,0.19,4,-1,,"6,074",117,218.45,4.36%,1.40,4,0,,"6,149",75,225.61,4.33%,7.16,4,0,,https://x.com/eternlwallet,,,Germany,Europe,N,Y,,,#N/A,Y,AHLPOOL,https://ahlnet.nu/,, UNCLEAR,,https://x.com/eternlwallet/status/1852988901196988789,,,,,,,,,
,drep1y2nvdau7g7xt6dlh9wydy9c4fvve24rr67twf5w63axu56q4rypfz,blockdaemon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,0.00%,13,13,167.04,4.58%,167.04,4,NEW!,6.48%,20,7,169.35,4.46%,2.31,4,0,0.96%,27,7,169.06,4.36%,-0.29,4,0,-0.11%,30,3,169.75,4.23%,0.69,5,-1,0.22%,41,11,176.97,4.36%,7.22,4,1,7.58%,48,7,179.05,4.22%,2.08,4,0,,49,1,179.01,4.12%,-0.04,4,0,,49,0,194.19,4.16%,15.18,4,0,,49,0,194.65,4.12%,0.46,4,0,,52,3,196.42,3.98%,1.77,5,-1,,55,3,198.17,3.96%,1.75,5,0,,56,1,198.66,3.81%,0.49,5,0,,https://x.com/BlockdaemonHQ,,,Ireland,Europe,N,,,Y,#N/A,,,,,,,,,,,,,,,,
,drep1ydpfkyjxzeqvalf6fgvj7lznrk8kcmfnvy9hyl6gr6ez6wgsjaelx,Cardano Foundation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,0.00%,54,54,2.2,0.06%,2.20,127,NEW!,0.09%,,,,,,,,0.00%,,,,0.00%,,,,,,,,,,,,,,,,0.00%,,-,,,63,63,63.08,1.49%,NEW!,18,NEW!,,66,3,83.4,1.92%,20.32,13,5,,67,1,83.48,1.79%,0.08,13,0,,67,0,83.49,1.77%,0.01,14,-1,,86,19,91.96,1.87%,8.47,13,1,,98,12,89,1.78%,-2.96,13,0,,110,12,190.37,3.65%,101.37,6,7,,https://x.com/Cardano_CF,,,Switzerland,Europe,N,,Y,,#N/A,,,,,,,,,,,,,,,,
drep16tsw66jtrver8ur3y3zzq2fl0m4swl4lwk88fvu8d4z4ydukrj0,drep1ytfwpmt2fvdnyvlswyjyggpf8alwkpm7ha6cua9nsak525ssmvm57,CryptoCrow,174,15.61,2.25%,12,319,145,27.66,2.32%,12.05,12,0,1.52%,359,40,34.35,2.41%,6.69,13,-1,2.04%,400,41,38.28,2.35%,3.93,14,-1,1.28%,444,44,40.82,2.42%,2.54,14,0,1.57%,481,37,42.64,2.32%,1.82,13,1,0.66%,568,87,54.23,2.40%,11.59,11,2,2.23%,660,92,61.2,2.46%,6.97,9,2,2.38%,715,55,63.83,2.43%,2.63,9,0,1.39%,836,121,71.74,2.60%,7.91,9,0,2.54%,918,82,77.93,2.71%,6.19,9,0,2.67%,994,76,81.3,2.71%,3.37,9,0,1.32%,"1,053",59,87.07,2.80%,5.77,9,0,0.82%,"1,237",184,105.79,3.15%,18.72,9,0,4.16%,"1,315",78,132.47,3.63%,26.68,8,1,1.03%,"1,399",84,142.58,3.75%,10.11,7,1,4.20%,"1,458",59,167.06,4.31%,24.48,5,2,9.30%,"1,526",68,170.86,4.26%,3.80,4,1,1.21%,"1,578",52,171.67,4.23%,0.81,5,-1,0.85%,"1,631",53,174.59,4.12%,2.92,5,0,,"1,654",23,175.06,4.03%,0.47,5,0,,"1,686",32,178.96,3.83%,3.90,5,0,,"1,716",30,181.65,3.85%,2.69,5,0,,"1,746",30,183.14,3.71%,1.49,6,-1,,"1,781",35,184.35,3.68%,1.21,6,0,,"1,816",35,188.75,3.62%,4.40,7,-1,,https://x.com/jasonappleton,,Jason Appleton,USA,North America,N,Y,,,#N/A,Y,CROW,https://cardanoscan.io/pool/087cb9a9dab66751853893b0de0628aee88c36f82fd0c1ee3b998548,, UNCLEAR,,https://x.com/jasonappleton/status/1833169039465632026,,,,,,,,,
,drep1ygr9tuapcanc3kpeyy4dc3vmrz9cfe5q7v9wj3x9j0ap3tswtre9j,Yoroi Wallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,545,545,42.52,0.98%,NEW!,30,NEW!,,"1,263",718,81.3,1.74%,38.78,14,16,,"1,747",484,102.65,2.17%,21.35,12,2,,"2,200",453,124.1,2.52%,21.45,11,1,,"2,701",501,153.92,3.07%,29.82,9,2,,"3,307",606,180.15,3.46%,26.23,8,1,,https://x.com/YoroiWallet,,Thomas Julien - Product Manager Yoroi Wallet,Japan,Asia Pacifc,Y,,,,,,,,,,,,,,,,,,,,
-,-,Always no confidence,155,13.2,1.90%,16,"1,136",981,38.08,3.20%,24.88,9,7,3.14%,"1,619",483,51.25,3.60%,13.17,7,2,4.02%,"2,271",652,62.53,3.84%,11.28,6,1,3.66%,"2,595",324,77.23,4.57%,14.70,5,1,9.10%,"2,992",397,80.21,4.36%,2.98,5,0,1.09%,"3,211",219,85.86,3.80%,5.65,6,-1,1.09%,"3,397",186,97.59,3.92%,11.73,6,0,4.00%,"3,544",147,109.66,4.17%,12.07,6,0,6.39%,"3,752",208,130.47,4.73%,20.81,5,1,6.69%,"3,874",122,134.82,4.68%,4.35,5,0,1.88%,"4,120",246,138.09,4.60%,3.27,5,0,1.28%,"4,226",106,141.52,4.55%,3.43,5,0,0.49%,"4,367",141,150.06,4.47%,8.54,5,0,1.90%,"4,469",102,153.93,4.22%,3.87,6,-1,0.15%,"4,573",104,156.88,4.13%,2.95,6,0,1.22%,"4,472",-101,157.54,4.06%,0.66,7,-1,0.25%,"4,624",152,158.99,3.96%,1.45,7,0,0.46%,"4,786",162,164.03,4.04%,5.04,6,1,5.29%,"4,867",81,164.73,3.89%,0.70,6,0,,"4,881",14,164.84,3.80%,0.11,6,0,,"4,895",14,166.01,3.56%,1.17,6,0,,"4,913",18,165.93,3.52%,-0.08,6,0,,"4,935",22,167.46,3.40%,1.53,7,-1,,"4,958",23,169.3,3.38%,1.84,7,0,,"4,994",36,168.97,3.24%,-0.33,9,-2,,N/A,,,N/A,N/A,N/A,,,,#N/A,N/A,N/A,N/A,, AGAINST,,,,,,,,,,,
