hash,bech32,name,ticker,valid_meta,itn,impersonator,active_stake,live_stake,owner_stake,delegator,block_epoch,total_block,block,margin,fixed_cost,pledge,reward_amount,pool_fee,reg_time,mithril,ros.0,ros.1,ros.2,ros.3,ros.6,ros.12,ros.18,ros.36,ros.73,cluster_name,cluster_order
ae0154e2fbd824443a4ea8b26d800dd77d8e982b94d90c939a77672e,pool14cq4fchmmqjygwjw4zexmqqd6a7caxptjnvseyu6wanjuppv4vk,Cardano Suisse,CH1,True,False,False,75659730865095,75575920695288,4978523647235,1922,271,5075,79,0,170000000,3000000000000,1963257626100,73950000000,1627238730,False,0.0284,0.0245,0.0227,0.0245,0.0244,0.0248,0.0258,0.0267,0.0269,,
3f1234251b87f3669a762b0b1ad00cb8c7e62502b327902ddbf72737,pool18ufrgfgmslekdxnk9v9345qvhrr7vfgzkvneqtwm7unnwaht6ww,Ogam Pool,OGAM,True,False,False,75460896326959,75484551606328,513046005797,253,152,4948,63,0,170000000,500000000000,1808044375713,33400801208,1680739864,False,0.0273,0.0278,0.0284,0.0278,0.0273,0.0256,0.0271,0.0272,0.0276,,
cdb10209d937fc1559c635e35b9147febde5307b4a7d276f868775cd,pool1ekcsyzwexl7p2kwxxh34hy28l6772vrmff7jwmuxsa6u6fzty9z,ADALovelacePool,ADALO,True,True,False,72303417544815,74911812825400,1001570783181,5185,354,22134,81,0,170000000,1000000000000,12865434816329,120666580841,1596184771,True,0.0383,0.0303,0.0274,0.0277,0.0264,0.0268,0.0265,0.0273,0.0280,bmtxs.github.io,0.0
4e0356a826bbf3e0525cd4612061a1304710b0c8d12df5457ac17cdf,pool1fcp4d2pxh0e7q5ju63sjqcdpxpr3pvxg6ykl23t6c97d7dnvjvw,Kiln,KILN1,True,False,False,74521305675616,74894304083859,3245653593,57,167,11468,75,0.03,340000000,100000000,4699586579643,200647375403,1677078951,False,0.0289,0.0256,0.0217,0.0225,0.0247,0.0237,0.0245,0.0258,0.0267,kiln.fi,1.0
daf97e5cf7b24fddbc0235684a1edff9c078c257d05df90d3fc6dc5f,pool1mtuhuh8hkf8am0qzx45y58kll8q83sjh6pwljrflcmw970d82f3,Kiln,KILN6,True,False,False,69834987429418,74848955711388,2791214163,20,73,3531,81,0.03,340000000,100000000,1224868579508,62022533352,1716645447,False,0.0257,0.0223,0.0238,0.0235,0.0249,0.0246,0.0247,0.0256,0.0257,kiln.fi,5.0
d7513627b3d50819c1c84687bfd15f02f00cd11c37d7935a67540089,pool16agnvfan65ypnswgg6rml52lqtcqe5guxltexkn82sqgj2crqtx,Spire Staking | 🏆 Top 10 Operator,SPIRE,True,False,False,74006068050497,74768253278517,1504093018624,9315,344,19984,81,0.01,340000000,1500000000000,10611301279535,187342515457,1597119791,True,0.0367,0.0226,0.0245,0.0243,0.0246,0.0248,0.0255,0.0266,0.0269,,
dacdbb3e160587423dc699830ace34969d3280ed48cea25551633e1a,pool1mtxmk0skqkr5y0wxnxps4n35j6wn9q8dfr82y423vvlp53vccux,Kiln,KILN3,True,False,False,74690513162161,74723825337085,3164783396,33,167,11607,73,0.03,340000000,100000000,4776904983115,203011771784,1677082280,False,0.0295,0.0225,0.0207,0.0214,0.0221,0.0243,0.0247,0.0256,0.0264,kiln.fi,3.0
c83beb18d532234c72a304ab935982be670c22e771b227a3febc3a82,pool1eqa7kxx4xg35cu4rqj4exkvzhenscgh8wxez0gl7hsagygp79kr,Pilot Pool,PILOT,True,False,False,74674606521389,74719337164224,1050050000000,7170,327,17735,84,0,340000000,1050000000000,8839129863718,116332473274,1606675177,False,0.0341,0.0283,0.0268,0.0249,0.0244,0.0247,0.0248,0.0254,0.0267,adapilot.com,0.0
19521342b6c4cefb13f091a075a221a3e765435a0646902dd5379f3a,pool1r9fpxs4kcn80kylsjxs8tg3p50nk2s66qerfqtw4x70n5740nj9,,,True,False,False,74581792990761,74612183323082,74612175843169,2,179,11783,69,1,340000000,71000000000000,417295486496,6203125886739,1669879276,False,0.0027,0,0,0,0,0,0,0,0,,
b6f7db82bc0ef7491d36bc4dd2b1be43529b04e16d7a6e6137abaad7,pool1kmmahq4upmm5j8fkh3xa9vd7gdffkp8pd4axucfh4w4dw549yqe,,,True,False,False,74509459914795,74547099288660,74547086262785,2,183,11985,74,1,340000000,71000000000000,59624527368,6703012645043,1669693071,False,0.0007,0,0,0,0,0,0,0,0,,
