hash,bech32,name,ticker,valid_meta,itn,impersonator,active_stake,live_stake,owner_stake,delegator,block_epoch,total_block,block,margin,fixed_cost,pledge,reward_amount,pool_fee,reg_time,ros,mithril,cluster_name,cluster_order,retiring_epoch
61d0c2697209cc772297ac9ca784bc0bebf321cffbfe8c8c85d8ab7f,pool1v8gvy6tjp8x8wg5h4jw20p9up04lxgw0l0lgery9mz4h7h9x25n,300,300,True,False,False,115700493808,135924581741,7293072,29,0,0,0,0,170000000,1000000,0,0,1749928743,"{'0': 0, '1': 0, '2': 0, '3': 0, '6': 0, '12': 0, '18': 0, '36': 0, '73': 0}",False,,,
2fa7df39f73de583b9ac7121e9c3bfbac385e53d8ed51e372030536d,pool197na7w0h8hjc8wdvwys7nsalhtpctefa3m23udeqxpfk6nzq8l9,n/a,N/A,True,False,False,70000003638594,38000003638594,7638594,3,1,22,22,0.03,340000000,0,0,0,1749758888,"{'0': 0, '1': 0, '2': 0, '3': 0, '6': 0, '12': 0, '18': 0, '36': 0, '73': 0}",False,n,13.0,
968c91930b19b75e87ee8b2635a130601a38d326cccc08669611b69e,pool1j6xfryctrxm4aplw3vnrtgfsvqdr35exenxqse5kzxmfue7qqmr,n/a,N/A,True,False,False,50000005638594,50000005638594,7638594,2,1,17,17,0.03,340000000,0,0,0,1749758851,"{'0': 0, '1': 0, '2': 0, '3': 0, '6': 0, '12': 0, '18': 0, '36': 0, '73': 0}",False,n,12.0,
050111fdb59ffef538f005d25a1d52c254a594a45abc278416830336,pool1q5q3rld4nll02w8sqhf9582jcf22t99yt27z0pqksvpnv4rdra9,n/a,N/A,True,False,False,50000005638594,50000005638594,7638594,2,1,16,16,0.03,340000000,0,0,0,1749758655,"{'0': 0, '1': 0, '2': 0, '3': 0, '6': 0, '12': 0, '18': 0, '36': 0, '73': 0}",False,n,11.0,
26913b79719e86c08f5e4e8fbcdcc8042865566fcc045fd25edd7a01,pool1y6gnk7t3n6rvpr67f68mehxgqs5x24n0esz9l5j7m4aqzn4e0qw,n/a,N/A,True,False,False,50000005638506,50000005638506,7638506,2,1,15,15,0.03,340000000,0,0,0,1749758307,"{'0': 0, '1': 0, '2': 0, '3': 0, '6': 0, '12': 0, '18': 0, '36': 0, '73': 0}",False,n,10.0,
7968d7e067205f0cff731c174bcf893cb1fd33f637c6a96ac0a9b408,pool1095d0cr8yp0selmnrst5hnuf8jcl6vlkxlr2j6kq4x6qs4yxuwt,n/a,N/A,True,False,False,50000005638506,50000005638506,7638506,2,1,16,16,0.03,340000000,0,0,0,1749757992,"{'0': 0, '1': 0, '2': 0, '3': 0, '6': 0, '12': 0, '18': 0, '36': 0, '73': 0}",False,n,9.0,
7b113eb1efa990e7c4160249a3eaa20523f14ad84be04cf2a88f2473,pool10vgnav004xgw03qkqfy6864zq53lzjkcf0syeu4g3uj8xaytlm8,Pier Two,Pier2,True,False,False,247639650,247639650,247639650,1,0,0,0,0.08,170000000,100000000,0,0,1749686976,"{'0': 0, '1': 0, '2': 0, '3': 0, '6': 0, '12': 0, '18': 0, '36': 0, '73': 0}",False,piertwo.com,1.0,
1552a66f6ec5b1bd62a9dde7166c9bbc10744b96350afa2295bfee08,pool1z4f2vmmwckcm6c4fmhn3vmymhsg8gjukx5905g54hlhqs9kaht9,LivingInn Stake Pool,LIVIN,True,False,False,400675544282,400814296265,50199431804,14,1,1,0,0.015,170000000,50000000000,0,0,1749400138,"{'0': 0, '1': 0, '2': 0, '3': 0, '6': 0, '12': 0, '18': 0, '36': 0, '73': 0}",False,,,
9960445e915f66b85988d27adfc8c5a2d7a853c4a34aee76f8b65ff4,pool1n9sygh53tantskvg6fadljx95tt6s57y5d9wuahcke0lgkguyeq,NEW BREED POOL,NBD,True,False,False,448908288848,449033334446,1108637714,2,0,0,0,0.005,340000000,500000000,0,0,1749185561,"{'0': 0, '1': 0, '2': 0, '3': 0, '6': 0, '12': 0, '18': 0, '36': 0, '73': 0}",False,,,
dd672b5fd10b645798d6474456cefe4252ece7814acf34f07f9ad1ac,pool1m4njkh73pdj90xxkgaz9dnh7gffweeupft8nfurlntg6cgqfmy8,Pier Two,Pier2,True,False,False,378155562,150659124702,150000000,3,0,0,0,0.01,170000000,100000000,0,0,1749093750,"{'0': 0, '1': 0, '2': 0, '3': 0, '6': 0, '12': 0, '18': 0, '36': 0, '73': 0}",False,piertwo.com,0.0,
