epoch,model,proposal_id,proposal_opinion,yes_wprime,no_wprime,outcome
0,optimal,p1,0.25,398.70776014722344,635.2923979520028,Fail
0,optimal,p2,0.75,414.7177996954686,619.2823584037577,Fail
1,optimal,p1,0.25,439.9584731015959,594.0416849976305,Fail
1,optimal,p2,0.75,421.1366481377985,612.863509961428,Fail
2,optimal,p1,0.25,422.588683251824,611.4114748474024,Fail
2,optimal,p2,0.75,417.773103659,616.2270544402264,Fail
3,optimal,p1,0.25,424.63881629363243,609.3613418055941,Fail
3,optimal,p2,0.75,431.8641201265756,602.1360379726509,Fail
4,optimal,p1,0.25,407.6351203195826,626.3650377796438,Fail
4,optimal,p2,0.75,439.07350856991695,594.9266495293095,Fail
5,optimal,p1,0.25,0.0,1034.0001580992266,Fail
5,optimal,p2,0.75,438.71786197202346,595.2822961272032,Fail
6,optimal,p1,0.25,0.0,1034.0001580992266,Fail
6,optimal,p2,0.75,956.1015998674005,77.89855823182594,Pass
7,optimal,p1,0.25,0.0,1034.0001580992266,Fail
7,optimal,p2,0.75,935.0968094430857,98.90334865614078,Pass
8,optimal,p1,0.25,0.0,1034.0001580992266,Fail
8,optimal,p2,0.75,940.8473345484068,93.15282355081966,Pass
9,optimal,p1,0.25,0.0,1034.0001580992266,Fail
9,optimal,p2,0.75,922.7585604955611,111.24159760366533,Pass
