epoch,proposal_id,proposal_opinion,for_stake,against_stake,outcome
0,p1,0.0,471.1109816672191,512.6422724988327,Fail
1,p1,0.0,471.1109816672191,512.6422724988327,Fail
2,p1,0.0,471.1109816672191,512.6422724988327,Fail
3,p1,0.0,471.1109816672191,512.6422724988327,Fail
4,p1,0.0,471.1109816672191,512.6422724988327,Fail
5,p1,0.0,471.1109816672191,512.6422724988327,Fail
6,p1,0.0,471.1109816672191,512.6422724988327,Fail
7,p1,0.0,471.1109816672191,512.6422724988327,Fail
8,p1,0.0,471.1109816672191,512.6422724988327,Fail
9,p1,0.0,471.1109816672191,512.6422724988327,Fail
