epoch,proposal_id,proposal_opinion,for_stake,against_stake,outcome
0,p1,0.0,495.37055914918244,538.6295989500439,Fail
1,p1,0.0,376.69448917185366,657.3056689273728,Fail
2,p1,0.0,295.8658846037941,738.1342734954324,Fail
3,p1,0.0,197.5325496837575,836.4676084154689,Fail
4,p1,0.0,106.34836440039574,927.6517936988306,Fail
5,p1,0.0,0.0,1034.0001580992264,Fail
6,p1,0.0,0.0,1034.0001580992264,Fail
7,p1,0.0,0.0,1034.0001580992264,Fail
8,p1,0.0,0.0,1034.0001580992264,Fail
9,p1,0.0,0.0,1034.0001580992264,Fail
