epoch,proposal_id,proposal_opinion,for_stake,against_stake,outcome
0,p1,0.0,495.37055914918244,538.6295989500439,Fail
1,p1,0.0,473.7069599233812,560.2931981758453,Fail
2,p1,0.0,479.5730476726344,554.427110426592,Fail
3,p1,0.0,474.1651686138442,559.8349894853823,Fail
4,p1,0.0,475.6860651251648,558.3140929740617,Fail
5,p1,0.0,0.0,1034.0001580992266,Fail
6,p1,0.0,0.0,1034.0001580992266,Fail
7,p1,0.0,0.0,1034.0001580992266,Fail
8,p1,0.0,0.0,1034.0001580992266,Fail
9,p1,0.0,0.0,1034.0001580992266,Fail
