epoch,proposal_id,proposal_opinion,for_stake,against_stake,outcome
0,p1,0.0,495.3705591491824,538.6295989500439,Fail
1,p1,0.0,381.6829774931963,652.3171806060301,Fail
2,p1,0.0,322.72290176119736,711.277256338029,Fail
3,p1,0.0,251.99269731781632,782.0074607814101,Fail
4,p1,0.0,197.8897874020965,836.1103706971298,Fail
5,p1,0.0,0.0,1034.0001580992264,Fail
6,p1,0.0,0.0,1034.0001580992266,Fail
7,p1,0.0,0.0,1034.0001580992264,Fail
8,p1,0.0,0.0,1034.0001580992264,Fail
9,p1,0.0,0.0,1034.0001580992264,Fail
